,i,j,y,t,l,k,alpha,psi
63,12,35,-2.082873089648751,3,1,1,-0.43072729929545756,-0.9084578685373851
64,12,128,-0.6516985582986687,4,1,6,-0.43072729929545756,0.3487556955170447
65,13,23,-1.6194506385333474,0,0,1,-0.967421566101701,-0.9084578685373851
66,13,40,-0.5031617482262338,1,0,2,-0.967421566101701,-0.6045853465832371
67,13,40,0.0031898904445832876,2,0,2,-0.967421566101701,-0.6045853465832371
68,13,120,0.36631860595540344,3,0,6,-0.967421566101701,0.3487556955170447
69,13,115,-1.1801988603119988,4,0,5,-0.967421566101701,0.11418529432142824
70,14,135,-0.9647522260825431,0,1,6,-0.43072729929545756,0.3487556955170447
71,14,135,1.5541394517336053,1,1,6,-0.43072729929545756,0.3487556955170447
72,14,153,0.31233014635420386,2,1,7,-0.43072729929545756,0.6045853465832371
73,14,153,2.32010195162659,3,1,7,-0.43072729929545756,0.6045853465832371
74,14,153,-0.014238971301674314,4,1,7,-0.43072729929545756,0.6045853465832371
75,15,193,2.6886616687588254,0,4,9,0.967421566101701,1.3351777361189363
76,15,193,2.5979281219920267,1,4,9,0.967421566101701,1.3351777361189363
77,15,193,2.5355764719351246,2,4,9,0.967421566101701,1.3351777361189363
78,15,159,0.891297233980208,3,4,8,0.967421566101701,0.9084578685373853
79,15,159,1.4169409453523167,4,4,8,0.967421566101701,0.9084578685373853
80,16,197,3.4439784515271166,0,2,9,0.0,1.3351777361189363
81,16,176,-0.8353401232591183,1,2,8,0.0,0.9084578685373853
82,16,176,1.75028229039331,2,2,8,0.0,0.9084578685373853
83,16,128,0.7178067622421794,3,2,6,0.0,0.3487556955170447
84,16,74,-0.009453672824192905,4,2,3,0.0,-0.3487556955170447
85,17,116,0.5947851680466101,0,1,5,-0.43072729929545756,0.11418529432142824
86,17,110,-2.4365538414934877,1,1,5,-0.43072729929545756,0.11418529432142824
87,17,119,-0.03826619529312222,2,1,6,-0.43072729929545756,0.3487556955170447
88,17,21,-0.7798607680540188,3,1,1,-0.43072729929545756,-0.9084578685373851
89,17,21,-1.073222574761062,4,1,1,-0.43072729929545756,-0.9084578685373851
90,18,14,-2.612580480679348,0,0,0,-0.967421566101701,-1.335177736118937
91,18,14,-2.2955440305159995,1,0,0,-0.967421566101701,-1.335177736118937
92,18,77,-1.8579072989212089,2,0,3,-0.967421566101701,-0.3487556955170447
93,18,77,-1.7665217674498463,3,0,3,-0.967421566101701,-0.3487556955170447
94,18,84,-1.2063094323892152,4,0,4,-0.967421566101701,-0.11418529432142838
95,19,71,-1.9629952721224917,0,2,3,0.0,-0.3487556955170447
96,19,71,0.49679817958474476,1,2,3,0.0,-0.3487556955170447
97,19,154,-0.744854537950411,2,2,7,0.0,0.6045853465832371
98,19,153,2.211854175532289,3,2,7,0.0,0.6045853465832371
99,19,153,-0.04398034370468984,4,2,7,0.0,0.6045853465832371
100,20,93,-1.8772392317160327,0,2,4,0.0,-0.11418529432142838
101,20,93,-1.2762604198941154,1,2,4,0.0,-0.11418529432142838
102,20,144,-1.0244367054436,2,2,7,0.0,0.6045853465832371
103,20,157,0.6917202068843652,3,2,7,0.0,0.6045853465832371
104,20,42,-2.2371277083700356,4,2,2,0.0,-0.6045853465832371
105,21,119,0.6984127860041285,0,1,6,-0.43072729929545756,0.3487556955170447
106,21,50,-1.3988581876925,1,1,2,-0.43072729929545756,-0.6045853465832371
107,21,138,0.12861480451962248,2,1,7,-0.43072729929545756,0.6045853465832371
108,21,138,3.3695529910011466,3,1,7,-0.43072729929545756,0.6045853465832371
109,21,196,2.226468148506405,4,1,9,-0.43072729929545756,1.3351777361189363
110,22,100,2.2665131109913887,0,2,5,0.0,0.11418529432142824
111,22,79,0.815429694171903,1,2,4,0.0,-0.11418529432142838
112,22,79,1.2080351403240728,2,2,4,0.0,-0.11418529432142838
113,22,115,-0.34563127996908216,3,2,5,0.0,0.11418529432142824
114,22,115,-1.5919011971169668,4,2,5,0.0,0.11418529432142824
115,23,121,0.6885827294913297,0,3,6,0.43072729929545744,0.3487556955170447
116,23,121,-0.7177026179920944,1,3,6,0.43072729929545744,0.3487556955170447
117,23,84,0.8477761843549676,2,3,4,0.43072729929545744,-0.11418529432142838
118,23,73,-1.5675563086049178,3,3,3,0.43072729929545744,-0.3487556955170447
119,23,98,2.3272673056462887,4,3,5,0.43072729929545744,0.11418529432142824
120,24,61,0.13074851127743325,0,3,3,0.43072729929545744,-0.3487556955170447
121,24,61,0.4701573413991973,1,3,3,0.43072729929545744,-0.3487556955170447
122,24,38,-2.4575644301058515,2,3,1,0.43072729929545744,-0.9084578685373851
123,24,106,1.9089141066618431,3,3,5,0.43072729929545744,0.11418529432142824
124,24,181,1.9028958185824159,4,3,9,0.43072729929545744,1.3351777361189363
125,25,39,-1.5412462592593363,0,4,1,0.967421566101701,-0.9084578685373851
126,25,39,0.926260811110208,1,4,1,0.967421566101701,-0.9084578685373851
127,25,39,0.9528650486444213,2,4,1,0.967421566101701,-0.9084578685373851
128,25,39,-0.5686977392811617,3,4,1,0.967421566101701,-0.9084578685373851
129,25,57,-0.24417988099016785,4,4,2,0.967421566101701,-0.6045853465832371
130,26,121,-1.1547618337393792,0,1,6,-0.43072729929545756,0.3487556955170447
131,26,53,-1.9121600918533077,1,1,2,-0.43072729929545756,-0.6045853465832371
132,26,53,1.6436340218136993,2,1,2,-0.43072729929545756,-0.6045853465832371
133,26,53,-0.4551362402272784,3,1,2,-0.43072729929545756,-0.6045853465832371
134,26,10,-2.2012663069181153,4,1,0,-0.43072729929545756,-1.335177736118937
135,27,197,2.6917500750912025,0,3,9,0.43072729929545744,1.3351777361189363
136,27,197,2.3011083790209166,1,3,9,0.43072729929545744,1.3351777361189363
137,27,193,3.318527996273374,2,3,9,0.43072729929545744,1.3351777361189363
138,27,184,2.127607835420453,3,3,9,0.43072729929545744,1.3351777361189363
139,27,184,2.6113154840669837,4,3,9,0.43072729929545744,1.3351777361189363
140,28,164,1.3298288887645406,0,4,8,0.967421566101701,0.9084578685373853
141,28,139,1.676197710862751,1,4,7,0.967421566101701,0.6045853465832371
142,28,139,2.2936140193261116,2,4,7,0.967421566101701,0.6045853465832371
143,28,139,1.5949885806425737,3,4,7,0.967421566101701,0.6045853465832371
144,28,180,2.8154033418901667,4,4,9,0.967421566101701,1.3351777361189363
145,29,71,0.9154484467574915,0,2,3,0.0,-0.3487556955170447
146,29,71,-1.5160912844527374,1,2,3,0.0,-0.3487556955170447
147,29,71,-1.4791366482047232,2,2,3,0.0,-0.3487556955170447
148,29,27,-1.3079596861107377,3,2,1,0.0,-0.9084578685373851
149,29,24,-1.1975795465416141,4,2,1,0.0,-0.9084578685373851
150,30,123,-1.0821170445833803,0,0,6,-0.967421566101701,0.3487556955170447
151,30,123,-1.5574114095844243,1,0,6,-0.967421566101701,0.3487556955170447
152,30,104,-1.1902263438904641,2,0,5,-0.967421566101701,0.11418529432142824
153,30,96,-1.4148668913660198,3,0,4,-0.967421566101701,-0.11418529432142838
154,30,96,-1.263127528897416,4,0,4,-0.967421566101701,-0.11418529432142838
155,31,37,-1.9273185853034573,0,1,1,-0.43072729929545756,-0.9084578685373851
156,31,37,-1.616379934513571,1,1,1,-0.43072729929545756,-0.9084578685373851
157,31,89,2.1246463099991035,2,1,4,-0.43072729929545756,-0.11418529432142838
158,31,79,-2.347890749869242,3,1,4,-0.43072729929545756,-0.11418529432142838
159,31,79,-0.32315971889563977,4,1,4,-0.43072729929545756,-0.11418529432142838
160,32,33,-1.6934349365525954,0,2,1,0.0,-0.9084578685373851
161,32,33,-0.40802084291243756,1,2,1,0.0,-0.9084578685373851
162,32,33,-0.9085281700995906,2,2,1,0.0,-0.9084578685373851
163,32,34,-0.8902460412671905,3,2,1,0.0,-0.9084578685373851
164,32,84,0.9521122332759435,4,2,4,0.0,-0.11418529432142838
165,33,155,1.7284727264868913,0,4,7,0.967421566101701,0.6045853465832371
166,33,155,1.9418248683002344,1,4,7,0.967421566101701,0.6045853465832371
167,33,155,3.2096950089680387,2,4,7,0.967421566101701,0.6045853465832371
168,33,155,2.8321090958356905,3,4,7,0.967421566101701,0.6045853465832371
169,33,103,-0.7139664483188479,4,4,5,0.967421566101701,0.11418529432142824
170,34,78,-1.2451334645149363,0,2,3,0.0,-0.3487556955170447
171,34,88,-1.8462997915989352,1,2,4,0.0,-0.11418529432142838
172,34,88,-0.6555317878207549,2,2,4,0.0,-0.11418529432142838
173,34,88,-0.4796147776469646,3,2,4,0.0,-0.11418529432142838
174,34,88,0.4430022496205596,4,2,4,0.0,-0.11418529432142838
175,35,98,0.14807632059185655,0,2,5,0.0,0.11418529432142824
176,35,0,-2.6745519098905723,1,2,0,0.0,-1.335177736118937
177,35,53,0.22031712095337097,2,2,2,0.0,-0.6045853465832371
178,35,28,-1.8113032296884883,3,2,1,0.0,-0.9084578685373851
179,35,28,-1.162929084737459,4,2,1,0.0,-0.9084578685373851
180,36,104,-2.104994176543186,0,1,5,-0.43072729929545756,0.11418529432142824
181,36,193,-0.2282773227091588,1,1,9,-0.43072729929545756,1.3351777361189363
182,36,174,0.6407560492008684,2,1,8,-0.43072729929545756,0.9084578685373853
183,36,73,0.09121104387388579,3,1,3,-0.43072729929545756,-0.3487556955170447
184,36,73,-1.7080655037141381,4,1,3,-0.43072729929545756,-0.3487556955170447
185,37,122,0.7737415621588483,0,3,6,0.43072729929545744,0.3487556955170447
186,37,122,0.022590596028651322,1,3,6,0.43072729929545744,0.3487556955170447
187,37,122,0.7224546098135003,2,3,6,0.43072729929545744,0.3487556955170447
188,37,51,-0.4312987991972732,3,3,2,0.43072729929545744,-0.6045853465832371
189,37,51,-1.107640318206275,4,3,2,0.43072729929545744,-0.6045853465832371
190,38,100,1.1055010549361999,0,3,5,0.43072729929545744,0.11418529432142824
191,38,100,1.8411986518170864,1,3,5,0.43072729929545744,0.11418529432142824
192,38,100,1.0010958642588061,2,3,5,0.43072729929545744,0.11418529432142824
193,38,46,-1.2092159392780388,3,3,2,0.43072729929545744,-0.6045853465832371
194,38,38,0.005078415243719214,4,3,1,0.43072729929545744,-0.9084578685373851
195,39,18,-2.762384880155591,0,1,0,-0.43072729929545756,-1.335177736118937
196,39,18,-2.1555479268592914,1,1,0,-0.43072729929545756,-1.335177736118937
197,39,26,-0.9820176513411649,2,1,1,-0.43072729929545756,-0.9084578685373851
198,39,96,0.20019856823630766,3,1,4,-0.43072729929545756,-0.11418529432142838
199,39,96,-2.329558017915092,4,1,4,-0.43072729929545756,-0.11418529432142838
200,40,98,1.1958749559516857,0,4,5,0.967421566101701,0.11418529432142824
201,40,98,1.2209020641059207,1,4,5,0.967421566101701,0.11418529432142824
202,40,98,-0.1646183634659999,2,4,5,0.967421566101701,0.11418529432142824
203,40,188,3.6728280322219455,3,4,9,0.967421566101701,1.3351777361189363
204,40,195,3.4926104874575445,4,4,9,0.967421566101701,1.3351777361189363
205,41,100,0.03946647825203668,0,2,5,0.0,0.11418529432142824
206,41,8,-2.4945857836749337,1,2,0,0.0,-1.335177736118937
207,41,8,-0.6455226583686917,2,2,0,0.0,-1.335177736118937
208,41,8,-2.047233844549605,3,2,0,0.0,-1.335177736118937
209,41,125,1.2456082312360992,4,2,6,0.0,0.3487556955170447
210,42,165,2.1447108131517996,0,4,8,0.967421566101701,0.9084578685373853
211,42,165,4.184873871248632,1,4,8,0.967421566101701,0.9084578685373853
212,42,165,1.2245690161556637,2,4,8,0.967421566101701,0.9084578685373853
213,42,147,2.6337633575467105,3,4,7,0.967421566101701,0.6045853465832371
214,42,147,1.1815968871707496,4,4,7,0.967421566101701,0.6045853465832371
215,43,197,0.4794831679882716,0,2,9,0.0,1.3351777361189363
216,43,107,1.4005236948607176,1,2,5,0.0,0.11418529432142824
217,43,134,0.23468332451556753,2,2,6,0.0,0.3487556955170447
218,43,160,1.7769431780028229,3,2,8,0.0,0.9084578685373853
219,43,160,0.11008157654626516,4,2,8,0.0,0.9084578685373853
220,44,172,0.7981845109912115,0,2,8,0.0,0.9084578685373853
221,44,121,0.8378647044529959,1,2,6,0.0,0.3487556955170447
222,44,121,0.585904850750126,2,2,6,0.0,0.3487556955170447
223,44,12,-0.10540653232887975,3,2,0,0.0,-1.335177736118937
224,44,46,-1.6611226505455867,4,2,2,0.0,-0.6045853465832371
225,45,196,2.8734052156218244,0,4,9,0.967421566101701,1.3351777361189363
226,45,90,-0.6924548962084542,1,4,4,0.967421566101701,-0.11418529432142838
227,45,90,1.15853420109676,2,4,4,0.967421566101701,-0.11418529432142838
228,45,134,2.7518280865875084,3,4,6,0.967421566101701,0.3487556955170447
229,45,186,2.6480302986594992,4,4,9,0.967421566101701,1.3351777361189363
230,46,61,2.3791843244762987,0,1,3,-0.43072729929545756,-0.3487556955170447
231,46,76,-1.925002112061362,1,1,3,-0.43072729929545756,-0.3487556955170447
232,46,76,-1.3049793250125072,2,1,3,-0.43072729929545756,-0.3487556955170447
233,46,76,-0.6540233258399087,3,1,3,-0.43072729929545756,-0.3487556955170447
234,46,76,-1.4115219391778364,4,1,3,-0.43072729929545756,-0.3487556955170447
235,47,31,-1.4545836668863932,0,1,1,-0.43072729929545756,-0.9084578685373851
236,47,49,-1.2025242901535975,1,1,2,-0.43072729929545756,-0.6045853465832371
237,47,49,-1.2785211393828226,2,1,2,-0.43072729929545756,-0.6045853465832371
238,47,49,-1.2275685798516391,3,1,2,-0.43072729929545756,-0.6045853465832371
239,47,29,1.0596213557525098,4,1,1,-0.43072729929545756,-0.9084578685373851
240,48,130,1.5668756465482794,0,4,6,0.967421566101701,0.3487556955170447
241,48,93,2.3833595325930936,1,4,4,0.967421566101701,-0.11418529432142838
242,48,93,0.3396408826788502,2,4,4,0.967421566101701,-0.11418529432142838
243,48,175,1.6816517495432193,3,4,8,0.967421566101701,0.9084578685373853
244,48,186,1.5430350693616655,4,4,9,0.967421566101701,1.3351777361189363
245,49,124,1.907586520163603,0,3,6,0.43072729929545744,0.3487556955170447
246,49,197,1.5888666743174529,1,3,9,0.43072729929545744,1.3351777361189363
247,49,104,0.2794105785682907,2,3,5,0.43072729929545744,0.11418529432142824
248,49,104,1.1053193582122613,3,3,5,0.43072729929545744,0.11418529432142824
249,49,62,0.976363007973842,4,3,3,0.43072729929545744,-0.3487556955170447
250,50,195,3.2338097525375717,0,4,9,0.967421566101701,1.3351777361189363
251,50,195,1.5775037625500885,1,4,9,0.967421566101701,1.3351777361189363
252,50,195,1.079087871411676,2,4,9,0.967421566101701,1.3351777361189363
253,50,195,1.8863391353306047,3,4,9,0.967421566101701,1.3351777361189363
254,50,195,1.4643492235260522,4,4,9,0.967421566101701,1.3351777361189363
255,51,49,-0.21013868731250407,0,1,2,-0.43072729929545756,-0.6045853465832371
256,51,49,-2.35288115801733,1,1,2,-0.43072729929545756,-0.6045853465832371
257,51,49,-0.10741080546295301,2,1,2,-0.43072729929545756,-0.6045853465832371
258,51,49,-1.8400990638276236,3,1,2,-0.43072729929545756,-0.6045853465832371
259,51,25,-0.44087586205517093,4,1,1,-0.43072729929545756,-0.9084578685373851
260,52,16,-3.1187853388341953,0,2,0,0.0,-1.335177736118937
261,52,16,-1.1342193681684516,1,2,0,0.0,-1.335177736118937
262,52,0,-1.6673751071022072,2,2,0,0.0,-1.335177736118937
263,52,0,-0.7449749577972542,3,2,0,0.0,-1.335177736118937
264,52,57,-0.7330684896064131,4,2,2,0.0,-0.6045853465832371
265,53,187,2.032962149840877,0,4,9,0.967421566101701,1.3351777361189363
266,53,187,1.760253171682504,1,4,9,0.967421566101701,1.3351777361189363
267,53,141,2.3344371321317934,2,4,7,0.967421566101701,0.6045853465832371
268,53,141,2.0759776648599035,3,4,7,0.967421566101701,0.6045853465832371
269,53,141,-0.02717787592258558,4,4,7,0.967421566101701,0.6045853465832371
270,54,75,-1.7496324946043895,0,1,3,-0.43072729929545756,-0.3487556955170447
271,54,75,-1.6343407637473104,1,1,3,-0.43072729929545756,-0.3487556955170447
272,54,27,-2.6868514196892077,2,1,1,-0.43072729929545756,-0.9084578685373851
273,54,27,-0.4132702463686261,3,1,1,-0.43072729929545756,-0.9084578685373851
274,54,27,-2.6947814397450305,4,1,1,-0.43072729929545756,-0.9084578685373851
275,55,113,-0.009865922831596388,0,2,5,0.0,0.11418529432142824
276,55,142,0.11200638439997762,1,2,7,0.0,0.6045853465832371
277,55,142,1.4653800459491424,2,2,7,0.0,0.6045853465832371
278,55,159,-0.05405454123050846,3,2,8,0.0,0.9084578685373853
279,55,153,1.0979074307236916,4,2,7,0.0,0.6045853465832371
280,56,193,-0.5540030272744421,0,3,9,0.43072729929545744,1.3351777361189363
281,56,193,2.002143454265036,1,3,9,0.43072729929545744,1.3351777361189363
282,56,109,1.6310362762380444,2,3,5,0.43072729929545744,0.11418529432142824
283,56,133,0.4124704259651988,3,3,6,0.43072729929545744,0.3487556955170447
284,56,162,0.0077643489600005555,4,3,8,0.43072729929545744,0.9084578685373853
285,57,136,1.179208003238481,0,3,6,0.43072729929545744,0.3487556955170447
286,57,70,1.1963242849200038,1,3,3,0.43072729929545744,-0.3487556955170447
287,57,155,0.7395537110992039,2,3,7,0.43072729929545744,0.6045853465832371
288,57,137,1.4351822236745062,3,3,6,0.43072729929545744,0.3487556955170447
289,57,137,1.7084881287912137,4,3,6,0.43072729929545744,0.3487556955170447
290,58,31,-0.5717949837541486,0,3,1,0.43072729929545744,-0.9084578685373851
291,58,50,-0.7569036494957351,1,3,2,0.43072729929545744,-0.6045853465832371
292,58,50,1.2093198858432452,2,3,2,0.43072729929545744,-0.6045853465832371
293,58,50,0.31978784198227733,3,3,2,0.43072729929545744,-0.6045853465832371
294,58,62,0.8176390302012846,4,3,3,0.43072729929545744,-0.3487556955170447
295,59,22,-2.4192973248988436,0,2,1,0.0,-0.9084578685373851
296,59,58,0.13513437418976626,1,2,2,0.0,-0.6045853465832371
297,59,15,-3.2793461433374103,2,2,0,0.0,-1.335177736118937
298,59,15,-2.187886471812994,3,2,0,0.0,-1.335177736118937
299,59,75,1.2266670205582966,4,2,3,0.0,-0.3487556955170447
300,60,105,0.8639753798304645,0,3,5,0.43072729929545744,0.11418529432142824
301,60,105,-0.339240687847958,1,3,5,0.43072729929545744,0.11418529432142824
302,60,105,-0.8717570967766948,2,3,5,0.43072729929545744,0.11418529432142824
303,60,105,2.2949923250074367,3,3,5,0.43072729929545744,0.11418529432142824
304,60,105,-0.5467414257939498,4,3,5,0.43072729929545744,0.11418529432142824
305,61,114,-0.4982177926718585,0,3,5,0.43072729929545744,0.11418529432142824
306,61,195,1.8405054171599025,1,3,9,0.43072729929545744,1.3351777361189363
307,61,195,1.6088261663922248,2,3,9,0.43072729929545744,1.3351777361189363
308,61,191,0.559311361357661,3,3,9,0.43072729929545744,1.3351777361189363
309,61,191,1.247096283229343,4,3,9,0.43072729929545744,1.3351777361189363
310,62,184,-0.21501634675234316,0,4,9,0.967421566101701,1.3351777361189363
311,62,184,1.5616241112009295,1,4,9,0.967421566101701,1.3351777361189363
312,62,184,3.0391674367100183,2,4,9,0.967421566101701,1.3351777361189363
313,62,184,1.9739394191043589,3,4,9,0.967421566101701,1.3351777361189363
314,62,184,2.6620351556159374,4,4,9,0.967421566101701,1.3351777361189363
315,63,96,1.0121026272812566,0,2,4,0.0,-0.11418529432142838
316,63,96,-0.7569816873304307,1,2,4,0.0,-0.11418529432142838
317,63,96,-0.8090759237187288,2,2,4,0.0,-0.11418529432142838
318,63,178,0.8563956897153593,3,2,8,0.0,0.9084578685373853
319,63,195,1.665220270070336,4,2,9,0.0,1.3351777361189363
320,64,4,-1.1290838098526788,0,0,0,-0.967421566101701,-1.335177736118937
321,64,9,-1.7418034047931368,1,0,0,-0.967421566101701,-1.335177736118937
322,64,9,-1.0171549551427657,2,0,0,-0.967421566101701,-1.335177736118937
323,64,2,-0.6404268178868302,3,0,0,-0.967421566101701,-1.335177736118937
324,64,2,-2.159991453715137,4,0,0,-0.967421566101701,-1.335177736118937
325,65,175,-0.7165551624063725,0,2,8,0.0,0.9084578685373853
326,65,101,0.12077469978430223,1,2,5,0.0,0.11418529432142824
327,65,99,0.48486062694329224,2,2,5,0.0,0.11418529432142824
328,65,4,0.05662003795043913,3,2,0,0.0,-1.335177736118937
329,65,4,-2.1790124359064,4,2,0,0.0,-1.335177736118937
330,66,104,0.055573136618370156,0,1,5,-0.43072729929545756,0.11418529432142824
331,66,104,0.31370233019228677,1,1,5,-0.43072729929545756,0.11418529432142824
332,66,80,-1.627595816242033,2,1,4,-0.43072729929545756,-0.11418529432142838
333,66,80,-2.697334506561747,3,1,4,-0.43072729929545756,-0.11418529432142838
334,66,80,-0.31957934337886507,4,1,4,-0.43072729929545756,-0.11418529432142838
335,67,19,-1.7731789039219819,0,0,0,-0.967421566101701,-1.335177736118937
336,67,19,-2.285481814966689,1,0,0,-0.967421566101701,-1.335177736118937
337,67,24,-3.460584846963267,2,0,1,-0.967421566101701,-0.9084578685373851
338,67,24,-2.181418650917461,3,0,1,-0.967421566101701,-0.9084578685373851
339,67,24,-3.4478915755602406,4,0,1,-0.967421566101701,-0.9084578685373851
340,68,72,0.42281572232730996,0,3,3,0.43072729929545744,-0.3487556955170447
341,68,72,-0.33791384317317374,1,3,3,0.43072729929545744,-0.3487556955170447
342,68,72,-1.2002359399966718,2,3,3,0.43072729929545744,-0.3487556955170447
343,68,72,-0.635881940529858,3,3,3,0.43072729929545744,-0.3487556955170447
344,68,72,-0.1082770252987213,4,3,3,0.43072729929545744,-0.3487556955170447
345,69,168,0.021681761068852445,0,1,8,-0.43072729929545756,0.9084578685373853
346,69,168,-0.09544271925790676,1,1,8,-0.43072729929545756,0.9084578685373853
347,69,108,-1.8578353891152002,2,1,5,-0.43072729929545756,0.11418529432142824
348,69,98,-1.8641582234630583,3,1,5,-0.43072729929545756,0.11418529432142824
349,69,73,-0.8478822186464338,4,1,3,-0.43072729929545756,-0.3487556955170447
350,70,71,0.21685773778073247,0,1,3,-0.43072729929545756,-0.3487556955170447
351,70,71,0.442433198013613,1,1,3,-0.43072729929545756,-0.3487556955170447
352,70,71,-1.7386699914334471,2,1,3,-0.43072729929545756,-0.3487556955170447
353,70,71,-0.24331153826649765,3,1,3,-0.43072729929545756,-0.3487556955170447
354,70,88,-0.4231937893172682,4,1,4,-0.43072729929545756,-0.11418529432142838
355,71,150,0.6229961939565406,0,4,7,0.967421566101701,0.6045853465832371
356,71,101,1.7977840033706447,1,4,5,0.967421566101701,0.11418529432142824
357,71,157,2.072967047422939,2,4,7,0.967421566101701,0.6045853465832371
358,71,132,-0.5588095249117568,3,4,6,0.967421566101701,0.3487556955170447
359,71,132,1.0582522091256563,4,4,6,0.967421566101701,0.3487556955170447
360,72,61,0.9774304552649913,0,4,3,0.967421566101701,-0.3487556955170447
361,72,61,-0.08553197504475663,1,4,3,0.967421566101701,-0.3487556955170447
